etime;sla2;ews_hits_20_wiki;ews2usage_23_NumberOfGroups;sla1;ews2usage_23_numberOflectures;ews_hits_20_phpbb;ews_hits_20_webdav;ews2usage_23_numberOfUsers;ews_hits_20_ews2;ews2usage_23_login5minutes
1286867100; 0; 6.1969836702e-01; 9.1100000000e+02; 0; 8.6220000000e+03; 4.6231535906e-01; 4.4158490650e-01; 4.7127000000e+04; 8.9596243662e+00; 4.2993333333e+01
1286867400; 0; 1.1017179859e+00; 9.1100000000e+02; 0; 8.6220000000e+03; 4.5003846154e-01; 5.3302712746e-01; 4.7127000000e+04; 1.1066288443e+01; 4.4993333333e+01
1286867700; 0; 1.5219333333e+00; 9.1100000000e+02; 0; 8.6229966667e+03; 1.0679333333e+00; 4.8682222222e-01; 4.7128993333e+04; 1.0173011111e+01; 3.8023333333e+01
1286868000; 0; 1.1143247324e+00; 9.1100000000e+02; 0; 8.6230000000e+03; 4.1746478405e-01; 8.0955134736e-01; 4.7129996667e+04; 9.4707770764e+00; 4.0990000000e+01
1286868300; 0; 6.6521235421e-01; 9.1100000000e+02; 0; 8.6230000000e+03; 2.5525461394e-01; 7.1302962626e-01; 4.7132980000e+04; 9.6343380852e+00; 4.6960000000e+01
1286868600; 0; 1.1018629134e+00; 9.1100000000e+02; 0; 8.6230000000e+03; 4.5931393534e-01; 1.0156523597e+00; 4.7135990000e+04; 9.8293515050e+00; 4.7000000000e+01
1286868900; 0; 1.4455222222e+00; 9.1100000000e+02; 0; 8.6279833333e+03; 4.2013333333e-01; 5.7481111111e-01; 4.7136996667e+04; 1.0521022222e+01; 5.1983333333e+01
1286869200; 0; 8.6860000000e-01; 9.1100000000e+02; 0; 8.6299933333e+03; 6.6252222222e-01; 8.3911111111e-01; 4.7138993333e+04; 1.2852211111e+01; 6.0970000000e+01
1286869500; 0; 5.0950018457e-01; 9.1100000000e+02; 1; 8.6300000000e+03; 3.7968619417e-01; 8.5046334441e-01; 4.7140993333e+04; 1.1913464673e+01; 5.8010000000e+01
1286869800; 0; 8.3393496965e-01; 9.1100000000e+02; 0; 8.6300000000e+03; 3.0152157246e-01; 6.7675137131e-01; 4.7141993333e+04; 9.9728691060e+00; 5.3033333333e+01
1286870100; 0; 5.6424262356e-01; 9.1100000000e+02; 0; 8.6300000000e+03; 5.2591445559e-01; 8.2284083984e-01; 4.7144990000e+04; 9.7673106652e+00; 5.9976666667e+01
1286870400; 0; 1.5283340347e+00; 9.1100000000e+02; 0; 8.6300000000e+03; 3.6929708379e-01; 5.0935574013e-01; 4.7145996667e+04; 1.4144825766e+01; 6.3986666667e+01
1286870700; 0; 1.6181479794e+00; 9.1100000000e+02; 0; 8.6300000000e+03; 6.0045178280e-01; 9.6350018704e-01; 4.7146000000e+04; 1.4147239266e+01; 6.4000000000e+01
1286871000; 0; 1.5070402081e+00; 9.1100000000e+02; 0; 8.6309966667e+03; 1.6896955779e+00; 7.1417740617e-01; 4.7146996667e+04; 1.4003812746e+01; 7.4963333333e+01
1286871300; 0; 9.3856666667e-01; 9.1100000000e+02; 0; 8.6319966667e+03; 1.0388555556e+00; 7.8310000000e-01; 4.7147996667e+04; 1.6720911111e+01; 7.1013333333e+01
1286871600; 0; 1.3984555556e+00; 9.1100000000e+02; 0; 8.6310033333e+03; 4.3202222222e-01; 6.1390000000e-01; 4.7150990000e+04; 1.5490811111e+01; 6.2030000000e+01
1286871900; 0; 2.2870333333e+00; 9.1100000000e+02; 0; 8.6310000000e+03; 8.5192222222e-01; 9.0901111111e-01; 4.7151996667e+04; 1.5184344444e+01; 8.0936666667e+01
