etime;localhost_mem_swap_4;localhost_mem_buffers_3;localhost_proc_7;localhost_processload_total_29;localhost_traffic_eth0_22;localhost_load_1min_44
1289050200; 4.0285320000e+06; 1.4397104000e+06; 2.3599333333e+02; 2.5401740716e+01; -nan 1.1258233434e+06; 2.3533333333e-02 1.9060000000e-01 2.0006666667e-01
1289050500; 4.0285320000e+06; 1.3509216267e+06; 2.3699333333e+02; 3.3863244444e+01; -nan 6.4274738616e+05; 1.1933333333e-01 1.8006666667e-01 1.9006666667e-01
1289050800; 4.0285320000e+06; 1.3731188800e+06; 2.5090666667e+02; 2.9324177778e+01; -nan 5.6625442002e+05; 1.3986666667e-01 1.8000000000e-01 1.8006666667e-01
1289051100; 4.0285320000e+06; 1.3658100800e+06; 2.4007333333e+02; 2.4324318989e+01; -nan 3.3247574627e+05; 1.1020000000e-01 1.8000000000e-01 1.8000000000e-01
1289051400; 4.0285320000e+06; 1.3141087467e+06; 2.4099666667e+02; 2.3189729590e+01; -nan 1.9507417769e+05; 1.0333333333e-02 1.1023333333e-01 1.5010000000e-01
1289051700; 4.0285320000e+06; 1.1957809867e+06; 2.4298666667e+02; 2.5517684755e+01; -nan 2.4122962954e+05; 1.0000000000e-02 9.0133333333e-02 1.3013333333e-01
1289052000; 4.0285320000e+06; 1.2256621333e+06; 2.4598000000e+02; 2.7861044444e+01; -nan 2.7075276427e+05; 8.9466666667e-02 1.1980000000e-01 1.3993333333e-01
1289052300; 4.0285320000e+06; 1.3381544000e+06; 2.5096666667e+02; 2.8191222222e+01; -nan 2.4637084609e+05; 3.0400000000e-02 1.3986666667e-01 1.4993333333e-01
1289052600; 4.0285320000e+06; 1.3186797600e+06; 2.4007333333e+02; 3.1130288889e+01; -nan 3.6342427942e+05; 9.9533333333e-02 1.4000000000e-01 1.5993333333e-01
1289052900; 4.0285320000e+06; 1.1569564800e+06; 2.3304666667e+02; 2.8087222222e+01; -nan 3.1309582142e+05; 1.0000000000e-01 1.4000000000e-01 1.6000000000e-01
1289053200; 4.0285320000e+06; 1.2247735733e+06; 2.4194000000e+02; 2.6256297287e+01; -nan 2.8336288964e+05; 5.0333333333e-02 1.1020000000e-01 1.4013333333e-01
1289053500; 4.0285320000e+06; 1.3180974267e+06; 2.8186666667e+02; 3.6987325452e+01; -nan 4.4193829344e+05; 2.0100000000e-02 1.5983333333e-01 1.5993333333e-01
1289053800; 4.0285320000e+06; 1.1501770667e+06; 2.3531333333e+02; 3.1483843928e+01; -nan 5.5213856139e+05; 6.9666666667e-02 1.3020000000e-01 1.5006666667e-01
