etime;jboss_16_threads;localhost_processload_jboss_27;jboss_16_vmstk;jboss_16_vmsize;jboss_16_conns;jboss_16_vmrss;jboss_16_vmswap;jboss_16_vmdata
1286871000; 3.0501666667e+02; 4.4043480119e+01; 8.6016000000e+04; 4.6977559074e+09; 0.0000000000e+00; 3.1211888367e+09; 1.5765670707e+09; 4.6329774080e+09
1286871300; 3.0699333333e+02; 3.5974066667e+01; 8.6016000000e+04; 4.6977678950e+09; 0.0000000000e+00; 3.1213317461e+09; 1.5764361489e+09; 4.6329774080e+09
1286871600; 3.1397666667e+02; 3.0983266667e+01; 8.6016000000e+04; 4.6977679360e+09; 0.0000000000e+00; 3.1214587767e+09; 1.5763091593e+09; 4.6329774080e+09
1286871900; 3.0702333333e+02; 2.7348766667e+01; 8.6016000000e+04; 4.7072104038e+09; 0.0000000000e+00; 3.1215490116e+09; 1.5856613922e+09; 4.6424198758e+09
1286872200; 3.0500666667e+02; 4.7040413474e+01; 8.6016000000e+04; 4.7069235610e+09; 0.0000000000e+00; 3.1212757948e+09; 1.5856477662e+09; 4.6424514560e+09
1286872500; 3.1990000000e+02; 4.0378486526e+01; 8.6016000000e+04; 4.7050183475e+09; 0.0000000000e+00; 3.1216980241e+09; 1.5833203234e+09; 4.6403601476e+09
1286872800; 3.0311333333e+02; 3.6693325901e+01; 8.6016000000e+04; 4.7051357662e+09; 0.0000000000e+00; 3.1215543910e+09; 1.5835813751e+09; 4.6403461120e+09
1286873100; 3.0599000000e+02; 1.5823051877e+01; 8.6016000000e+04; 4.7051366400e+09; 0.0000000000e+00; 3.1216758784e+09; 1.5834607616e+09; 4.6403461120e+09
1286873400; 3.1098333333e+02; 4.0856044444e+01; 8.6016000000e+04; 4.7051366400e+09; 0.0000000000e+00; 3.1217211938e+09; 1.5834154462e+09; 4.6403461120e+09
1286873700; 3.1199666667e+02; 6.6451344444e+01; 8.6016000000e+04; 4.7051366400e+09; 0.0000000000e+00; 3.1359646515e+09; 1.5691719885e+09; 4.6403461120e+09
1286874000; 3.0701666667e+02; 4.8792677778e+01; 8.6016000000e+04; 4.7051366400e+09; 0.0000000000e+00; 3.1358938999e+09; 1.5692427401e+09; 4.6403461120e+09
1286874300; 3.0700000000e+02; 8.4832600000e+01; 8.6016000000e+04; 4.7051366400e+09; 0.0000000000e+00; 3.1358935040e+09; 1.5692431360e+09; 4.6403461120e+09
1286874600; 3.0500666667e+02; 8.1684266667e+01; 8.6016000000e+04; 4.7049937579e+09; 0.0000000000e+00; 3.1356485632e+09; 1.5693451947e+09; 4.6403461120e+09
1286874900; 3.0500000000e+02; 2.5085922222e+01; 8.6016000000e+04; 4.7048626449e+09; 0.0000000000e+00; 3.1356314146e+09; 1.5692312303e+09; 4.6403461120e+09
1286875200; 3.1397000000e+02; 2.8069388889e+01; 8.6016000000e+04; 4.7051357252e+09; 0.0000000000e+00; 3.1359293713e+09; 1.5692063539e+09; 4.6403461120e+09
1286875500; 3.1499666667e+02; 3.5361030786e+01; 8.6016000000e+04; 4.7050060049e+09; 0.0000000000e+00; 3.1358487211e+09; 1.5691572838e+09; 4.6403461120e+09
1286875800; 3.0506666667e+02; 4.1520696304e+01; 8.6016000000e+04; 4.7048916446e+09; 0.0000000000e+00; 3.1356857003e+09; 1.5692059443e+09; 4.6403461120e+09
1286876100; 3.0599666667e+02; 3.2313323630e+01; 8.6016000000e+04; 4.7051358208e+09; 0.0000000000e+00; 3.1369378884e+09; 1.5681979324e+09; 4.6403461120e+09
1286876400; 3.0600000000e+02; 2.6201347496e+01; 8.6016000000e+04; 4.7050064418e+09; 0.0000000000e+00; 3.1367956070e+09; 1.5682108348e+09; 4.6403461120e+09
1286876700; 3.0699666667e+02; 4.9536437664e+01; 8.6016000000e+04; 4.7046667332e+09; 0.0000000000e+00; 3.1364966127e+09; 1.5681701205e+09; 4.6403461120e+09
