etime;apache2_18_vmstk;apache2_18_threads;apache2_18_conns;apache2_18_vmdata;apache2_18_vmsize;apache2_18_vmswap;apache2_18_vmrss;localhost_processload_apache2_28
1286872500; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 6.3331930602e-02
1286872800; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 4.3610628019e-02
1286873100; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 4.6656038647e-02
1286873400; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 4.6666666667e-02
1286873700; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 4.6666666667e-02
1286874000; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 8.3211111111e-02
1286874300; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 5.3433333333e-02
1286874600; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 5.3333333333e-02
1286874900; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 4.0044444444e-02
1286875200; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 4.6644444444e-02
1286875500; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 5.6445699520e-02
1286875800; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 4.6887113561e-02
1286876100; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 4.6512664956e-02
1286876400; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 5.6787223562e-02
1286876700; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 4.9857294711e-02
1286877000; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 4.3520631711e-02
1286877300; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 4.9978260870e-02
